Iteration,Approximation,Error,Slope
0,0.0,0.23315585755299917,0
1,0.7639641181332993,-0.5308082605803002,-0.7639641181332993
2,0.29179840853299077,-0.0586425509799916,0.47216570960030857
3,-3.5884593929447206e-05,0.23319174214692862,0.2918342931269202
4,0.18033141647338835,0.05282444107961082,-0.1803673010673178
5,0.2918205868975949,-0.05866472934459571,-0.11148917042420653
6,0.22291504275408036,0.010240814798918807,0.06890554414351452
7,0.26550190563635134,-0.032346048083352175,-0.04258686288227098
8,0.23918122400330377,-0.006025366450304603,0.02632068163304757
9,0.22290257171277736,0.01025328584022181,0.016278652290526413
10,0.23296354346217563,0.00019231409082354212,-0.010060971749398268
11,0.2391889316926134,-0.006033074139614236,-0.006225388230437778
12,0.23534134934994483,-0.00218549179694566,0.0038475823426685762
13,0.23295877974814,0.00019707780485916926,0.0023825696018048292
14,0.23443131967508984,-0.0012754621220906759,-0.0014725399269498451
15,0.2335212208327228,-0.0003653632797236406,0.0009100988423670353
16,0.23296165477966113,0.00019420277333803693,0.0005595660530616775
17,0.2333074928841492,-0.00015163533115003514,-0.00034583810448807206
18,0.2330937486910169,6.21088619822685e-05,0.00021374419313230364
19,0.23322585264227297,-6.999508927379994e-05,-0.00013210395125606844
20,0.23314420619526674,1.1651357732428425e-05,8.164644700622836e-05
21,0.23319466753457835,-3.880998157917981e-05,-5.046133931160823e-05
22,0.23316348005663545,-7.62250363628425e-06,3.118747794289556e-05
23,0.23314241834576704,1.3439207232124328e-05,2.106171086840858e-05
24,0.23315543547238535,4.220806138210964e-07,-1.3017126618303232e-05
25,0.23314739027670037,8.467276298801396e-06,8.0451956849803e-06
26,0.23315236258552915,3.4949674700135436e-06,-4.9723088287878525e-06
27,0.23315654021381485,-6.826608156818015e-07,-4.177628285695345e-06
28,0.23315395824330454,1.899309694630702e-06,2.5819705103125035e-06
29,0.2331555540223591,3.0353064006671815e-07,-1.5957790545639838e-06
30,0.23315585755299917,0.0,-3.0353064006671815e-07
